SWIS,Longitude,Latitude,LandfillName,City,LandfillOwnershipType,Owner,Class,TypeOfWaste,TypeOfWaste2,CurrentLandfillStatus,YearOpened,YearClosed,YearRange,Converted,ConversionType,SiteConversion,SiteRegulartoryStatus,DocumentationLink
"01-AC-0039","[122.3133211, 122.3055898, 122.30401090000002, 122.31100719999999]","[37.8693118, 37.8710095, 37.8666685, 37.8651641]","Santa Fe Pacific Berkeley Landfill","Berkeley","Private","Catellus Development","nan","nan","nan","Closed","1930.0","1962.0","Opened in the 1930's; no specific date listed for year opened","Fully Converted","Public","Berkeley Meadow","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/7193"
"01-CR-0001","[122.14908840000001, 122.1447328, 122.1452554, 122.14520320000001, 122.14633559999999, 122.1549772, 122.15485530000001, 122.15556959999999, 122.15556959999999, 122.15555220000002, 122.15140559999999, 122.15135330000001, 122.1517192, 122.1517018, 122.151545, 122.1517889, 122.1518934, 122.15149270000002, 122.15144040000001, 122.15144040000001, 122.15144040000001, 122.15119650000001]","[37.6559815, 37.6496638, 37.6493052, 37.6474015, 37.6474015, 37.6456357, 37.649319, 37.650091499999995, 37.6506984, 37.6518571, 37.6518709, 37.6525606, 37.652767499999996, 37.653291700000004, 37.653512400000004, 37.653609, 37.6543676, 37.6545331, 37.6548366, 37.65529179999999, 37.6556504, 37.65599520000001]","All Cities LF/Kofy Radio Site","Hayward","Private","Landfill Development Inc.","nan","nan","nan","Closed","1940.0","1966.0","Opened in the 1940's; unknown specific year of opening.","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/312677"
"01-CR-0002","[122.30081729999999, 122.30063, 122.2998354, 122.30095890000001, 122.30124209999998, 122.30204590000001, 122.30217830000001, 122.30229709999999, 122.30232450000001, 122.302256, 122.3021327, 122.3019545, 122.30144299999999, 122.30102279999998]","[37.846228, 37.846808700000004, 37.8462857, 37.8458674, 37.8458601, 37.8456221, 37.845611299999995, 37.8456185, 37.84567979999999, 37.845762799999996, 37.8457988, 37.845806, 37.8459359, 37.8460765]","Emeryville Ashby (Point Emery)","Emeryville","nan","nan","nan","nan","nan","Closed","nan","nan","No Dates Found","Fully Converted","Public","Point Emery","Pre-Regulation","nan"
"01-CR-0003","[122.30596670000001, 122.3024209, 122.3019414, 122.3004361, 122.29978940000001, 122.298574, 122.2981503, 122.29726940000002, 122.29749240000001, 122.29778229999998, 122.2979607, 122.2982618, 122.2986409, 122.2988527, 122.2988973, 122.2991761, 122.30016850000001, 122.3010048, 122.30175190000001, 122.302131, 122.3026216, 122.3029561, 122.30339099999999, 122.30387040000001, 122.3048851, 122.30821909999999, 122.30815220000001, 122.3081745, 122.30814109999999, 122.3079403, 122.3076504, 122.3069591, 122.3068365, 122.3071264, 122.30689220000001]","[37.839592200000006, 37.8393985, 37.8394073, 37.8395042, 37.840058899999995, 37.840058899999995, 37.8402967, 37.837866299999995, 37.8376813, 37.8372146, 37.8371089, 37.8371618, 37.8372939, 37.8372586, 37.8371089, 37.8370121, 37.836844799999994, 37.836607, 37.8366422, 37.8365718, 37.8364749, 37.8364221, 37.8363956, 37.8364749, 37.83688, 37.8369152, 37.8374348, 37.8378839, 37.8382713, 37.838306599999996, 37.8383594, 37.8382537, 37.8394425, 37.8395658, 37.8396979]","Emeryville Dump","Emeryville","Private","nan","Class I","Hazardous Waste","nan","Closed","1940.0","1960.0","Landfill operations began during World War II and ended during the 1960's; no specific years of operation were found","nan","Residential/Commercial","Emeryville Peninsula","Pre-Regulation","https://dehpra.acgov.org/LOP/Lopinfo/ReadFile?record=RO0000071%5CPSA_R_1989-06.pdf"
"01-CR-0004","[121.74225630000001, 121.73869930000001, 121.7387439, 121.74233429999998]","[37.7305835, 37.7305835, 37.7297016, 37.7297104]","Livermore Dump (Raymond Road Landfill)","Livermore","Public","City of Livermore","Class III","Non-Hazardous Waste","nan","Closed","nan","1960.0","nan","Fully Converted","Commercial","Livermore Flying Electrons","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/264410"
"01-CR-0005","[122.14334869999999, 122.1426351, 122.1430588, 122.1442631, 122.14734059999999, 122.14769740000001, 122.15250320000001, 122.15263700000001, 122.1466158, 122.14408459999999]","[37.6464215, 37.645423799999996, 37.645167799999996, 37.6449383, 37.6438434, 37.641847999999996, 37.641901000000004, 37.645423799999996, 37.647119, 37.6471985]","Old West Winton Landfill","Hayward","Private","Oakland Scanvenger Company","nan","nan","nan","Closed","1938.0","1974.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/269611"
"01-CR-0006","[122.1791249, 122.1727308, 122.1726263, 122.17260890000001, 122.1726437, 122.1728179, 122.17311409999998, 122.1736368, 122.1741072, 122.1745602, 122.17787050000001, 122.17828859999999, 122.1838638]","[37.690760100000006, 37.68517620000001, 37.68428, 37.683631899999995, 37.6832872, 37.682804600000004, 37.682584000000006, 37.6822117, 37.6822117, 37.6822669, 37.6832596, 37.6826667, 37.690870399999994]","San Leandro Marina DS (Tony Lema Disposal Site)","San Leandro","Public","City of San Leandro","Class III","Non-Hazardous Waste","nan","Closed","nan","1978.0","No Dates found for year opened","Fully Converted","Commercial","Tony Lema Golf Course","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/264340"
"01-CR-0017","[121.7421858, 121.7403875, 121.7398594, 121.74173619999999]","[37.693312299999995, 37.694080299999996, 37.6932672, 37.692544299999994]","Hexcel/F&P Property","Livermore","nan","nan","nan","nan","nan","Closed","1906.0","1977.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/276656"
"01-CR-0019","[122.01502179999999, 122.0134538, 122.01470819999999, 122.0145862, 122.0149173, 122.0150915, 122.01542250000001, 122.0157187, 122.0160149, 122.016433, 122.0164504, 122.017008]","[37.50960070000001, 37.5074032, 37.5073618, 37.5036162, 37.502786900000004, 37.5022893, 37.5018747, 37.50162589999999, 37.5014047, 37.5011698, 37.506656899999996, 37.5069195]","Mowry Road Site","Newark","Private","Leslie Salt Company / Oakland Scavenger Company","Class II","Non-Hazardous Waste","nan","Closed","1964.0","1967.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/340466"
"01-CR-0023","[122.0164156, 122.0146385, 122.00820959999999, 122.00970790000001]","[37.5907104, 37.591994299999996, 37.587396999999996, 37.585519399999995]","Pacific States Steel Corp Codisposal Sit","Union City","Private","Pacific States Steel Corp","Class I","Hazardous Waste","nan","Closed","1938.0","1987.0","Years reflect the time the area was leased leased to companies that used the land to disposal of metal containing wastes.","Not Converted","nan","nan","Unpermitted","https://dtsc.ca.gov/wp-content/uploads/sites/31/2017/11/PacificSteel_FS_SMCleanup_0603.pdf"
"01-CR-0026","[121.70577730000001, 121.7057972, 121.7068216, 121.7071498, 121.70738349999999, 121.7074183]","[37.6711777, 37.6696466, 37.669701700000005, 37.6698749, 37.6701701, 37.671221]","Sandia National Labs Navy LF","Livernmore","Private","Sandia National Labrotory ","Class I","Hazardous Waste","nan","Closed","nan","nan","No years listed","Not Converted","nan","nan","Pre-Regulation","nan"
"01-CR-0031","[122.02128799999998, 122.0212064, 122.02122479999998, 122.0211169, 122.02091159999999, 122.0208195, 122.0208142, 122.02082469999999, 122.02085100000001, 122.02088789999999, 122.0209537, 122.0210642, 122.0221013, 122.02216969999999, 122.0223381, 122.0217696]","[37.7489409, 37.7485726, 37.748481, 37.7484477, 37.748366499999996, 37.748358200000006, 37.74828529999999, 37.7481917, 37.7481313, 37.748102200000005, 37.74811679999999, 37.7481313, 37.7476797, 37.747767100000004, 37.747763, 37.7485871]","Crow Canyon SWDS","Hayward","Private","Kevin Armstrong","nan","nan","nan","Closed","nan","nan","nan","Converted ","nan","Trees/Vegetation","TBD","nan"
"01-CR-0032","[121.75177690000001, 121.7510408, 121.7510408, 121.74970829999998, 121.7492312, 121.74901740000001, 121.74852390000001, 121.748273, 121.748125, 121.7481537, 121.7482113, 121.748199, 121.7486185, 121.7487213, 121.74875420000001, 121.7486308, 121.7486555, 121.7487912, 121.74902560000001, 121.7493628, 121.7494821, 121.74959309999998, 121.7497001, 121.749733, 121.74978229999999, 121.749918, 121.7504033, 121.75056370000001, 121.75060890000002, 121.7506706, 121.7508105, 121.75089679999999, 121.751378, 121.7515672, 121.75164529999999, 121.7518633, 121.7519126, 121.751962, 121.75204009999999, 121.752147, 121.75239380000001, 121.75281329999999, 121.7523979]","[37.6201992, 37.6201992, 37.620202500000005, 37.6207139, 37.6207237, 37.6206781, 37.6205673, 37.6204012, 37.62015039999999, 37.6198995, 37.6195738, 37.6193686, 37.6192448, 37.618971200000004, 37.6188441, 37.6185314, 37.6182903, 37.61813720000001, 37.6181894, 37.6185184, 37.6185835, 37.6186259, 37.6185998, 37.618550899999995, 37.6185347, 37.618564, 37.6189321, 37.6189907, 37.6189907, 37.6189646, 37.6189028, 37.618893, 37.6190982, 37.6190982, 37.619088399999995, 37.6191634, 37.6193425, 37.6193783, 37.6194044, 37.6194044, 37.619234999999996, 37.619420700000006, 37.6200266]","Del Valle Reservoir DS","Livermore","nan","nan","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Pre-Regulation","nan"
"01-CR-0034","[122.2264797, 122.22381899999999, 122.2221523, 122.2239395, 122.22649979999998]","[37.74519779999999, 37.7453724, 37.743332, 37.7426412, 37.7428159]","North Port Of Oakland Refuse DS/Raiders","Oakland","Public/Private","Oakland Scavengar Company","Class III","Non-Hazardous Waste","nan","Closed","1950.0","1974.0","nan","Partially Converted","Public","Spunkmeyer Field/Buildings","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/428760"
"01-CR-0041","[122.3255693, 122.3258987, 122.3262909, 122.32677720000001, 122.32748319999999, 122.32811070000001, 122.32886380000001, 122.32920890000001, 122.32967959999999, 122.3299933, 122.3307777, 122.33084050000001, 122.33085619999999, 122.33085619999999, 122.3314837, 122.33187590000001, 122.3315621, 122.33093459999999, 122.33018159999999]","[37.7958341, 37.7953134, 37.795437400000004, 37.7954622, 37.795139899999995, 37.7948176, 37.7942473, 37.7937514, 37.792772, 37.791990999999996, 37.7919786, 37.7926605, 37.7932555, 37.794061299999996, 37.7949415, 37.796007700000004, 37.796453899999996, 37.7967886, 37.7969994]","Alameda Point OU3 (Former NAS Alameda)","Alameda","Private","Naval Air Station (NAS) Alameda","Class II","Non-Hazardous Waste","nan","Closed","1943.0","1956.0","nan","Not Converted","nan","nan","Pre-Regulation","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/260910"
"01-CR-0042","[122.33082479999999, 122.32549080000001, 122.32549080000001, 122.32530259999999, 122.32505149999999, 122.3248005, 122.3248319, 122.32536529999999, 122.32705959999998, 122.32705959999998, 122.32806370000002, 122.32902069999999, 122.3294129, 122.32978940000001, 122.3301345, 122.3303385, 122.3306993, 122.3310915, 122.33160919999999]","[37.789238700000006, 37.788717999999996, 37.7887304, 37.7886436, 37.7885196, 37.7881601, 37.7878378, 37.7813533, 37.7812665, 37.782320399999996, 37.783721500000006, 37.784701, 37.784924100000005, 37.7855193, 37.785444899999995, 37.7855813, 37.7856309, 37.7856309, 37.7853333]","Alameda Point OU4A (Former NAS Alameda) - West Beach Landfill (01-AA-0004)","Alameda","Private","Naval Air Station (NAS) Alameda","Class II","Non-Hazardous Waste","nan","Closed","1956.0","1978.0","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/269722"
"01-CR-0045","[122.2022868, 122.20211409999999, 122.202077, 122.2019989, 122.20187549999999, 122.2018138, 122.2018138, 122.2016864, 122.201674, 122.20171509999999, 122.2017645, 122.20180149999999, 122.20180149999999, 122.20183030000001, 122.20187549999999, 122.2019619, 122.2020606, 122.2021552, 122.20220859999999, 122.2022909, 122.20237309999999, 122.20246770000001, 122.20255, 122.2025993, 122.20257050000001, 122.20249650000001, 122.2023361, 122.2022827, 122.2022703, 122.2022909, 122.20230729999999, 122.2024348, 122.20241019999999, 122.20240600000001]","[37.8253658, 37.825313799999996, 37.8252716, 37.8251547, 37.8250377, 37.824904499999995, 37.824839600000004, 37.8247259, 37.8245764, 37.8244205, 37.8243036, 37.8241931, 37.8240859, 37.8239885, 37.82393, 37.823868299999994, 37.8238098, 37.8237741, 37.8237643, 37.8237643, 37.823787100000004, 37.82384879999999, 37.823933200000006, 37.8240274, 37.824108700000004, 37.8242224, 37.8243815, 37.82444, 37.8245505, 37.824631700000005, 37.8246869, 37.8250637, 37.8252619, 37.825323600000004]","Shepherd Canyon Park IDS","Oakland","Public","City of Oakland","Class III","Non-Hazardous Waste","nan","Closed","nan","nan","nan","Fully Converted","Public","Shepard Canyon Park","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/276861"
"01-CR-0047","[121.8903253, 121.8894095, 121.88885890000002, 121.8885577, 121.88840859999999, 121.8882687, 121.88825959999998, 121.88826259999999, 121.8882778, 121.88829299999999, 121.8882991, 121.88832649999999, 121.88836, 121.88838729999999, 121.8902949]","[37.7075746, 37.707394, 37.707319399999996, 37.7073315, 37.7073411, 37.707370000000004, 37.7072328, 37.7069391, 37.7066455, 37.706542, 37.706486600000005, 37.706452899999995, 37.706438500000004, 37.7064313, 37.706486600000005]","Dublin/Hacienda Incinerator Ash Site","Pleasanton","Public","County of Alameda","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","file:///C:/Users/desti/Downloads/18134.PDF"
"01-CR-0048","[121.8758086, 121.8754025, 121.8759131, 121.8761104, 121.8762032, 121.8765862, 121.8767835, 121.8771665, 121.8775146, 121.8778396, 121.8779557, 121.8781762, 121.8785475, 121.879151, 121.8796152, 121.8802303, 121.8805088, 121.8805553]","[37.7230705, 37.721051, 37.7189396, 37.7179756, 37.7180583, 37.7183428, 37.7181776, 37.718453, 37.7190681, 37.7197107, 37.7202982, 37.7206838, 37.721106, 37.7214273, 37.72151, 37.7216936, 37.7218404, 37.7219322]","Santa Rita Jail Property - Former Miltary Burn Pit and Landfill","Dublin","Public","County of Alameda","nan","nan","nan","Closed","1950.0","nan","Property was used as a dump site in the 1950's all other information is unknown.","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/196686"
"01-CR-0049","[122.2288439, 122.22808229999998, 122.227502, 122.2270668, 122.2270668, 122.22713929999999, 122.2271574, 122.2270486, 122.22693980000001, 122.2268129, 122.2272663, 122.2272481, 122.22753829999999, 122.2278828, 122.22819109999999, 122.2288983, 122.2288983, 122.2291521, 122.2286263, 122.2285537, 122.2283361, 122.22802790000001, 122.22784650000001, 122.22786470000001, 122.22775590000002, 122.22746570000001, 122.2275564, 122.2279191, 122.2287895, 122.22958729999999, 122.23025829999999, 122.2310562, 122.2322892, 122.2323074, 122.2279735, 122.22831799999999, 122.2286625, 122.22902520000001, 122.22917029999999, 122.2292247, 122.229134]","[37.7452096, 37.7449802, 37.7449515, 37.7448225, 37.7446074, 37.7444927, 37.7442919, 37.7440338, 37.743947799999994, 37.73434, 37.7341965, 37.733680299999996, 37.7332213, 37.7331066, 37.7333504, 37.733164, 37.733565500000005, 37.733895399999994, 37.7340675, 37.7345694, 37.7348849, 37.7351144, 37.735688, 37.7365341, 37.7367779, 37.7371507, 37.7382693, 37.7384557, 37.7384414, 37.7384557, 37.7385417, 37.7386565, 37.739172700000005, 37.739387799999996, 37.7395456, 37.742012, 37.7426859, 37.7428437, 37.7431018, 37.7435033, 37.7441629]","Chuck Corica Golf Course","Alameda","Public","City of Alameda","nan","nan","nan","Closed","1940.0","1959.0","The site is said to have opened in the mid to late 1940's and closed at least by 1959.","Fully Converted","Commercial","Chuck Corica Golf Course","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/322579"
"01-CR-0050","[122.22855590000002, 122.22645530000001, 122.2272793, 122.2276507, 122.22812649999999, 122.2285327, 122.2286139, 122.2287764, 122.2288693, 122.22875320000001]","[37.72964279999999, 37.7289269, 37.7273756, 37.7275868, 37.7278071, 37.7280273, 37.7282201, 37.728532200000004, 37.7287984, 37.729239]","Oakland Airport North Field","Alameda","Private","Port of Oakland","nan","nan","nan","Closed","nan","nan","No years listed","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/411611"
"01-CR-0052","[122.0149956, 122.014651, 122.0134723, 122.01300090000001, 122.0150681, 122.0148686, 122.01229369999999, 122.01053470000001, 122.010299, 122.01066159999999, 122.01232990000001, 122.0124387, 122.0123118, 122.0121486, 122.0118947, 122.0119673, 122.0123481, 122.01262009999999, 122.0132547, 122.01363549999999, 122.01410700000001]","[37.5025866, 37.5073338, 37.5073625, 37.5071755, 37.509549, 37.5096785, 37.507132399999996, 37.507678999999996, 37.5074776, 37.507290600000005, 37.506614500000005, 37.50601029999999, 37.505492499999995, 37.504615, 37.5042553, 37.50382379999999, 37.5034641, 37.5032771, 37.503234, 37.502946200000004, 37.5022126]","Alameda County Flood Control","Newark","nan","nan","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/369530"
"01-CR-0053","[122.01481159999999, 122.01417279999998, 122.0108231, 122.01227879999999]","[37.509707899999995, 37.5107213, 37.5076398, 37.5071802]","Singh Harwinder Site","Newark","Private","Singh Harwinder","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/369530"
"01-CR-0054","[122.014099, 122.01398300000001, 122.0106638, 122.0106638, 122.0106638, 122.0108495]","[37.510782, 37.510966100000005, 37.508388399999994, 37.5080294, 37.5077808, 37.5076796]","City of Newark","Newark","nan","nan","nan","nan","nan","Closed","nan","nan","nan","Not Converted","nan","nan","Unpermitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/369530"
"07-AA-0001","[122.3883124, 122.3817824, 122.38044109999998, 122.3795233, 122.38040579999999, 122.38347659999998, 122.38351189999999, 122.3851709, 122.3851709, 122.38548859999999, 122.38577099999999, 122.386724, 122.38661809999999, 122.3869005, 122.38725349999999, 122.38735940000001, 122.38778290000002, 122.38912420000001, 122.38923009999999, 122.3899361, 122.3905361, 122.39088909999998, 122.393254, 122.3954425, 122.3956543, 122.39621899999999, 122.39660729999999, 122.39724270000002, 122.3957955, 122.3956543, 122.3951601, 122.3894419, 122.3884183]","[37.9714346, 37.971379, 37.9697094, 37.9684016, 37.968095500000004, 37.967622399999996, 37.9673441, 37.967372, 37.9666484, 37.9650623, 37.9650066, 37.965618799999994, 37.9647005, 37.9645335, 37.9642831, 37.964060499999995, 37.9639491, 37.9640326, 37.9640326, 37.9636709, 37.964116100000005, 37.9648675, 37.9644779, 37.964895299999995, 37.9657301, 37.966036200000005, 37.966787599999996, 37.967872799999995, 37.967789399999994, 37.968791100000004, 37.9694868, 37.9691807, 37.9694868]","West Contra Costa Landfill (Class II Parcel)","Richmond","Private","West Contra Costa Sanitary Landfill Inc","Class II","nan","nan","Closed","1953.0","2006.0","nan","Not Converted","nan","nan","Permitted","https://secure.calrecycle.ca.gov/SWISDocument/Document/Details/385444"
